run_id,day,temperature_c,humidity_index,operational_load,maintenance_level,powder_quality,binder_viscosity_stress,voltage_stress,recoater_blade_pct,nozzle_plate_pct,heating_elements_pct,drive_motor_rails_pct,cleaning_thermal_iface_pct,insulation_sensors_pct
2,1,21.0000,0.1012,1.0000,0.9570,0.9478,0.0484,0.0702,100%,100%,100%,100%,100%,100%
2,2,21.0762,0.0958,2.4634,0.9573,0.9464,0.0492,0.0889,100%,100%,100%,100%,99%,100%
2,3,21.2577,0.0791,3.9742,0.9587,0.9414,0.0396,0.0690,100%,99%,100%,100%,99%,100%
2,4,20.7493,0.0785,5.4623,0.9641,0.9410,0.0320,0.0571,100%,99%,100%,99%,99%,100%
2,5,20.8013,0.0715,7.0048,0.9680,0.9410,0.0253,0.0738,99%,99%,100%,99%,99%,100%
2,6,20.8130,0.0782,8.4335,0.9706,0.9411,0.0218,0.0762,99%,99%,100%,99%,98%,100%
2,7,21.0478,0.0730,9.9321,0.9685,0.9428,0.0179,0.0725,99%,99%,100%,99%,98%,100%
2,8,21.0605,0.0670,11.3779,0.9632,0.9438,0.0160,0.0899,99%,99%,100%,99%,98%,100%
2,9,21.1726,0.0718,12.7984,0.9648,0.9398,0.0152,0.0980,99%,98%,100%,98%,98%,100%
2,10,21.2509,0.0690,14.3035,0.9620,0.9404,0.0111,0.0986,99%,98%,100%,98%,97%,100%
2,11,21.4505,0.0630,15.7842,0.9659,0.9400,0.0110,0.0915,99%,98%,100%,98%,97%,100%
2,12,21.3682,0.0657,17.2522,0.9667,0.9390,0.0147,0.0764,98%,98%,100%,98%,97%,100%
2,13,21.6444,0.0675,18.6304,0.9627,0.9395,0.0157,0.0610,98%,98%,100%,98%,97%,100%
2,14,21.4858,0.0676,20.2467,0.9638,0.9392,0.0212,0.0556,98%,97%,99%,97%,96%,100%
2,15,21.5800,0.0507,21.6014,0.9671,0.9423,0.0305,0.0909,98%,97%,99%,97%,96%,100%
2,16,21.6368,0.0533,23.0704,0.9678,0.9403,0.0276,0.0991,98%,97%,99%,97%,96%,100%
2,17,22.1212,0.0681,24.5192,0.9636,0.9477,0.0347,0.1004,98%,97%,99%,97%,96%,100%
2,18,21.9035,0.0540,25.9895,0.9647,0.9430,0.0305,0.0983,98%,97%,99%,97%,96%,100%
